Header,--------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search title,Bovine_GRX_ArgC_9PTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timestamp,2021-01-11T12:30:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report URI,http://fw01c326.ugent.be/mascot/cgi/master_results.pl?file=../data/20210111/F007483.dat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak list data path,\\FW01C361\DATA10TB\Simon\GRX_DA\Nov2020\Export\MGF\MGF_Distiller\HigherChargeMSMS\PropTryp\PropTryp_merge_HigherChargeMSMS.mgf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak list format,Mascot generic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search type,MIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mascot version,2.7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Database,190912_Bovine_Histones_cRAP_MPDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fasta file,190912_Bovine_Histones_cRAP_MPDS_20190912.fasta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total sequences,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total residues,43864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequences after taxonomy filter,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of queries,30668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable modifications,--------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Identifier,Name,Delta,Neutral loss(es),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Acetyl (K),42.010565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Butyryl (K),70.041865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Dimethyl (KR),28.0313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Formyl (K),27.994915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Formyl (S),27.994915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Formyl (T),27.994915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Methyl (KR),14.01565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Oxidation (M),15.994915,0,63.998285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Propionyl (STY),56.026215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search Parameters,--------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taxonomy filter,All entries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enzyme,Arg-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Missed Cleavages,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed modifications,"Propionyl (K),Propionyl (N-term)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable modifications,"Acetyl (K),Butyryl (K),Dimethyl KR (KR),Formyl (K),Formyl (S),Formyl (T),Methyl KR (KR),Oxidation (M),Propionyl STY (STY)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peptide Mass Tolerance,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peptide Mass Tolerance Units,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragment Mass Tolerance,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragment Mass Tolerance Units,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mass values,Monoisotopic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument type,SynaptG2Si HDDDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Format parameters,--------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
